latitude,longitude,country,state,name,description,commodities
-0.5689,-69.7082,Brazil,Goias,Summit-East-1,Underground mine site producing Rare Earth Elements. Established 1959.,Rare Earth Elements
37.0739,-109.153,USA,Alaska,Peak-Central-2,"Mountain Top Removal mine site producing Palladium, Lithium, Nickel. Established 2001.","Palladium, Lithium, Nickel"
66.3649,-141.2243,USA,Montana,Summit-East-3,"Strip mine site producing Lithium, Gold, Palladium. Established 1981.","Lithium, Gold, Palladium"
42.3347,75.9838,China,Inner Mongolia,Mountain-South-4,In-Situ Leaching mine site producing Diamonds. Established 1958.,Diamonds
20.7399,94.5948,China,Yunnan,Summit-South-5,"Solution Mining mine site producing Lithium, Cobalt, Diamonds. Established 1961.","Lithium, Cobalt, Diamonds"
65.2153,-74.7128,USA,Nevada,Canyon-East-6,"Solution Mining mine site producing Bauxite, Coal. Established 1969.","Bauxite, Coal"
-25.2543,-69.235,Brazil,Mato Grosso,Valley-North-7,"Underground mine site producing Copper, Cobalt. Established 1963.","Copper, Cobalt"
-28.2186,137.0314,Australia,New South Wales,Valley-East-8,"Dredging mine site producing Copper, Platinum. Established 1981.","Copper, Platinum"
26.688,-123.7964,USA,Alaska,Canyon-South-9,Underground mine site producing Coal. Established 1950.,Coal
-36.9609,137.338,Australia,Queensland,Summit-West-10,"Strip mine site producing Molybdenum, Bauxite. Established 1954.","Molybdenum, Bauxite"
36.0477,75.1107,China,Xinjiang,Summit-South-11,"In-Situ Leaching mine site producing Lithium, Iron Ore. Established 1977.","Lithium, Iron Ore"
48.2456,133.2662,China,Xinjiang,Canyon-North-12,"Solution Mining mine site producing Platinum, Tin. Established 1975.","Platinum, Tin"
59.7993,-63.8409,Canada,Saskatchewan,Mountain-East-13,"Open Pit mine site producing Coal, Zinc. Established 1968.","Coal, Zinc"
-29.7431,29.8668,South Africa,North West,Ridge-West-14,"Placer mine site producing Rare Earth Elements, Platinum, Lithium. Established 2015.","Rare Earth Elements, Platinum, Lithium"
-40.1083,-69.2308,Chile,Antofagasta,Valley-South-15,"Mountain Top Removal mine site producing Iron Ore, Nickel. Established 1982.","Iron Ore, Nickel"
36.1259,-160.8962,USA,California,Ridge-North-16,"Dredging mine site producing Lithium, Silver, Molybdenum. Established 1974.","Lithium, Silver, Molybdenum"
